Movie,Genre,Director,Actors
A Wednesday (2008 - Hindi),Drama,Neeraj Pandey,"Naseeruddin Shah, Anupam Kher, Jimmy Shergill and others"
Aa Ab Laut Chalen (1999 - Hindi),"Drama, Family",Rishi Kapoor,"Akshaye Khanna, Aishwarya Rai-Bachchan, Suman Ranganathan and others"
Aa Dekhen Zara (2009 - Hindi),Thriller,Jehangir Surti,"Neil Nitin Mukesh, Bipasha Basu, Rahul Dev and others"
Aagey Se Right (2009 - Hindi),Comedy,Indrajit Nattooji,"Shreyas Talpade, Mahi Gill, Kay Kay Menon and others"
Aaina (1993 - Hindi),"Drama, Family",Deepak Sareen,"Jackie Shroff, Juhi Chawla, Amrita Singh and others"
Aakhari Decision (2010 - Hindi),"Action, Drama",Deepak Bandhu,"Anant Jog, Nagesh Bhosle, Mushtaq Khan and others"
Aakrosh (2010 - Hindi),Drama,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu and others"
Aamir (2008 - Hindi),Thriller,Rajkumar Gupta,"Rajeev Khandelwal, Gajraj Rao, Jhilmil Hazrika and others"
Aamras (2009 - Hindi),"Comedy, Drama",Rupali Guha,"Vega Tamotia, Ntasha Bhardwaj, Maanvi Gargoo and others"
Aankhen (1993 - Hindi),Comedy,David Dhawan,"Govinda, Chunkey Pandey, Shilpa Shirodkar and others"
Aankhen (2002 - Hindi),Action,Vipul Shah,"Akshay Kumar, Amitabh Bachchan, Sushmita Sen and others"
Aankhen 2 (2013 - Hindi),Thriller,Sharang Dev,"Amitabh Bachchan, Paresh Rawal and others"
Aap Ka Saaya (2013 - Hindi),Romance,Udhas Singh,"Ranbir Kapoor, Jiah Khan, Asin Thottumkal and others"
"Aap Kaa Suroor The Moviee, The Real Luv Story (2007 - Hindi)",Romance,Prashant Chadha,"Himesh Reshammiya, Hansika Motwani, Mallika Sherawat and others"
Aap Ke Liye Hum (2013 - Hindi),Drama,Revathy S. Verma,"Jaya Bachchan, Raveena Tandon, Ranvir Shorey and others"
Aashayein (2010 - Hindi),Drama,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Anaitha Nair and others"
Aashiqui (1990 - Hindi),Romance,Mahesh Bhatt,"Rahul Roy, Anu Agarwal, Reema Lagoo and others"
Aasma (2009 - Hindi),Drama,Rohit Nayyar,"Joy Sengupta, Shubh, Hrishita Bhatt and others"
Aasman (2013 - Hindi),Action,Anthony D'Souza,"Akshay Kumar, Katrina Kaif, Sanjay Dutt and others"
Ab Tak Chhappan (2004 - Hindi),Action,Shimit Amin,"Nana Patekar, Yashpal Sharma, Nakul Vaid and others"
Accident On Hill Road (2009 - Hindi),Thriller,Mahesh Nair,"Farooq Shaikh, Celina Jaitley, Abhimanyu Singh and others"
Acid Factory (2009 - Hindi),Thriller,Suparn Verma,"Fardeen Khan, Dia Mirza, Irrfan Khan and others"
Action Replayy (2010 - Hindi),"Comedy, Drama",Vipul Shah,"Akshay Kumar, Aishwarya Rai-Bachchan, Neha Dhupia and others"
Ada.. A Way Of Life (2010 - Hindi),Romance,Tanvir Ahmed,"Nauheed Cyrusi, Saurabh Dubey, Ayaan Ahmad and others"
Admissions Open (2010 - Hindi),"Drama, Social",K. D. Satyam,"Anupam Kher, Ashish Vidyarthi, Ankur Khanna and others"
Agent Vinod (2012 - Hindi),"Action, Suspense, Thriller",Sriram Raghavan,"Saif Ali Khan, Kareena Kapoor Khan, Gulshan Grover and others"
Agneepath (1990 - Hindi),Action,Mukul S. Anand,"Amitabh Bachchan, Mithun Chakraborty, Neelam and others"
Agneepath (2012 - Hindi),"Action, Drama",Karan Malhotra,"Hrithik Roshan, Priyanka Chopra, Sanjay Dutt and others"
Agni Sakshi (1996 - Hindi),Romance,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Nana Patekar and others"
Agyaat (2009 - Hindi),Thriller,Ram Gopal Varma,"Nitin Reddy, Priyanka Kothari, Ravi Kale and others"
Aisha (2010 - Hindi),"Comedy, Romance",Rajshree Ojha,"Abhay Deol, Sonam Kapoor, Cyrus Sahukar and others"
Aitraaz (2004 - Hindi),Drama,Abbas-Mustan,"Akshay Kumar, Kareena Kapoor Khan, Priyanka Chopra and others"
Ajab Prem Ki Ghazab Kahani (2009 - Hindi),Drama,Raj Kumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Upen Patel and others"
Akadd (2013 - Hindi),"Action, Comedy",Arshad Warsi,Priyanka Chopra and others
Akele Hum Akele Tum (1995 - Hindi),"Drama, Family",Mansoor Khan,"Aamir Khan, Manisha Koirala, Paresh Rawal and others"
Aladin (2009 - Hindi),"Comedy, Fantasy, Children",Sujoy Ghosh,"Amitabh Bachchan, Riteish Deshmukh, Sanjay Dutt and others"
All The Best : Fun Begins (2009 - Hindi),Comedy,Rohit Shetty,"Ajay Devgn, Bipasha Basu, Sanjay Dutt and others"
Allah Ke Banday (2010 - Hindi),Drama,Farooque Kabir,"Naseeruddin Shah, Sharman Joshi, Anjana Sukhani and others"
Aloo Chaat (2009 - Hindi),Comedy,Robby Grewal,"Aftab Shivdasani, Aamna Shariff, Linda Arsenio and others"
Amar Akbar Anthony (1977 - Hindi),Comedy,Manmohan Desai,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan and others"
Amar Akbar Anthony Remake (2013 - Hindi),"Comedy, Drama",David Dhawan,"Salman Khan, Sohail Khan, Arbaaz Khan and others"
Anand (1970 - Hindi),Social,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumitra Sanyal and others"
Andaz (1971 - Hindi),"Drama, Social",Ramesh Sippy,"Shammi Kapoor, Hema Malini, Rajesh Khanna and others"
Andaz Apna Apna (1994 - Hindi),Comedy,Raj Kumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon and others"
Angoor (1982 - Hindi),Comedy,Gulzar,"Sanjeev Kumar, Mousumi Chatterjee, Deven Verma and others"
Anjaana Anjaani (2010 - Hindi),Romance,Siddarth Raj Anand,"Ranbir Kapoor, Priyanka Chopra, Zayed Khan and others"
Apaharan (2005 - Hindi),Action,Prakash Jha,"Ajay Devgn, Nana Patekar, Bipasha Basu and others"
Apartment (2010 - Hindi),Thriller,Jagmohan Mundhra,"Rohit Roy, Tanushree Datta, Neetu Chandra and others"
Apne (2007 - Hindi),Drama,Anil Sharma,"Dharmendra, Sunny Deol, Bobby Deol and others"
Arth (1983 - Hindi),"Drama, Social",Mahesh Bhatt,"Shabana Azmi, Kulbhushan Kharbanda, Smita Patil and others"
Baabarr (2009 - Hindi),Action,Ashu Y. Trikha,"Soham, Mithun Chakraborty, Urvashi Sharma and others"
Baabul (2006 - Hindi),Drama,Ravi Chopra,"Amitabh Bachchan, Hema Malini, Salman Khan and others"
Baadshah (1999 - Hindi),Comedy,Abbas-Mustan,"Shah Rukh Khan, Amrish Puri, Rakhee and others"
Baazigar (1993 - Hindi),Thriller,Abbas-Mustan,"Shah Rukh Khan, Kajol, Shilpa Shetty Kundra and others"
Bachelor Party (2009 - Hindi),Comedy,Isshaan Trivedi,"Jimmy Shergill, Nauheed Cyrusi, Arbaaz Khan and others"
Bachna Ae Haseeno (2008 - Hindi),Romance,Siddarth Raj Anand,"Ranbir Kapoor, Bipasha Basu, Deepika Padukone and others"
Bad Luck Govind (2009 - Hindi),Comedy,Varun Khanna,"Gaurav Kapoor, Hrishita Bhatt, Parmeet Sethi and others"
Bade Miyan Chote Miyan (1998 - Hindi),"Comedy, Drama",David Dhawan,"Amitabh Bachchan, Govinda, Raveena Tandon and others"
Badmaash Company (2010 - Hindi),"Action, Drama",Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Meiyang Chang and others"
Baghban (2003 - Hindi),"Drama, Family",Ravi Chopra,"Amitabh Bachchan, Hema Malini, Salman Khan and others"
Bajirao Mastani (2013 - Hindi),"Drama, Musical, Romance",Sanjay Leela Bhansali,"Salman Khan, Kareena Kapoor Khan, Rani Mukerji and others"
Bal Ganesh 2 (2009 - Hindi),"Children, Animation",Pankaj Sharma,
Bal Hanuman 2 (2010 - Hindi),"Biographical, Mythology, Animation",Pankaj Sharma,
Barfi! (2012 - Hindi),"Comedy, Romance, Social",Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz and others"
Bbuddah - Hoga Terra Baap (2011 - Hindi),Action,Puri Jagannath,"Amitabh Bachchan, Hema Malini, Sonu Sood and others"
Before The Rains (2009 - Hindi),"Drama, Romance, Thriller",Santosh Sivan,"Rahul Bose, Nandita Das, Jennifer Ehle and others"
Beta (1992 - Hindi),Drama,Indra Kumar,"Anil Kapoor, Madhuri Dixit-Nene, Aruna Irani and others"
Bhagam Bhag (2006 - Hindi),Comedy,Priyadarshan,"Akshay Kumar, Govinda, Jackie Shroff and others"
Bhairavi (2013 - Hindi),Musical,Rakesh Mehra,"Amitabh Bachchan, Jaya Bachchan, Abhishek Bachchan and others"
Bhavnao Ko Samjho (2010 - Hindi),Comedy,Sunil Pal,"Sunil Pal, Raju Shrivastav, Ehsaan Qureshi and others"
Bheja Fry (2007 - Hindi),Comedy,Sagar Ballary,"Vinay Pathak, Rajat Kapoor, Ranvir Shorey and others"
Bhool Bhulaiyaa (2007 - Hindi),Thriller,Priyadarshan,"Shiney Ahuja, Vidya Balan, Akshay Kumar and others"
Bhoot (2003 - Hindi),Horror,Ram Gopal Varma,"Ajay Devgn, Urmila Matondkar, Rekha and others"
Bhoot Returns (2012 - Hindi),Horror,Ram Gopal Varma,"Manisha Koirala, J. D. Chakravarthy, Madhu Shalini and others"
Bhoothnath (2008 - Hindi),"Drama, Children",Vivek Sharma,"Amitabh Bachchan, Aman Siddiqui, Juhi Chawla and others"
Bihaad (2013 - Hindi),"Action, Adventure",Milan Luthria,"Sanjay Dutt, Ajay Devgn, Vidya Balan and others"
Billu (2009 - Hindi),Comedy,Priyadarshan,"Irrfan Khan, Shah Rukh Khan, Lara Dutta and others"
Bird Idol (2010 - Hindi),"Children, Animation",Jyotin Goel,"Sanjay Dutt, Juhi Chawla, Shaan and others"
Biwi No. 1 (1999 - Hindi),"Drama, Family",David Dhawan,"Salman Khan, Karisma Kapoor, Sushmita Sen and others"
Black (2005 - Hindi),"Drama, Social","Sanjay Leela Bhansali, Sanjay Sharma","Amitabh Bachchan, Rani Mukerji, Ayesha Kapoor and others"
Blue (2009 - Hindi),Action,Anthony D'Souza,"Akshay Kumar, Sanjay Dutt, Lara Dutta and others"
Blue Oranges (2009 - Hindi),Drama,Rajesh Ganguly,"Rajit Kapur, Harsh Chhaya, Rati Agnihotri and others"
Bluffmaster! (2005 - Hindi),Drama,Rohan Sippy,"Abhishek Bachchan, Priyanka Chopra, Riteish Deshmukh and others"
Bol Bachchan (2012 - Hindi),"Comedy, Romance",Rohit Shetty,"Ajay Devgn, Abhishek Bachchan, Asin Thottumkal and others"
Bolo Raam (2009 - Hindi),Thriller,Rakesh Chaturvedi,"Naseeruddin Shah, Rishi Bhutani, Om Puri and others"
Bombay (1995 - Hindi),Drama,Mani Ratnam,"Arvind Swamy, Manisha Koirala, Naseer and others"
Bombay Velvet (2015 - Hindi),"Action, Thriller",Anurag Kashyap,"John Abraham, Naseeruddin Shah, Kay Kay Menon and others"
Border (1997 - Hindi),War,J. P. Dutta,"Sunny Deol, Akshaye Khanna, Sunil Shetty and others"
Break Ke Baad (2010 - Hindi),Romance,Danish Aslam,"Imran Khan, Deepika Padukone, Sharmila Tagore and others"
Broken Horses (2013 - Hindi),Action,Vidhu Vinod Chopra,Mickey Rourke and others
Bumm Bumm Bole (2010 - Hindi),Children,Priyadarshan,"Atul Kulkarni, Rituparna Sengupta, Darsheel Safary and others"
Bunty Aur Babli (2005 - Hindi),Romance,Shaad Ali,"Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan and others"
Baap Numbri Beta Dus Numbri (1990 - Hindi),Costume,Aziz Sejawal,"Jackie Shroff, Farha, Vijay Arora and others"
Baazi (1995 - Hindi),Action,Ashutosh Gowariker,"Aamir Khan, Mamta Kulkarni, Mukesh Rishi and others"
Bachao (2010 - Hindi),Horror,Shyam Ramsay,"Rufy Khan, Karron Malik, Anishka and others"
Baharen Phir Bhi Aayengi (1966 - Hindi),"Drama, Social",Shahid Latif,"Dharmendra, Mala Sinha, Tanuja and others"
Baharon Ke Sapne (1967 - Hindi),Social,Nasir Hussain,"Rajesh Khanna, Asha Parekh, Jairaj and others"
Balle Balle Amritsar To L.A. (2004 - Hindi),Drama,Gurinder Chadhha,"Aishwarya Rai-Bachchan, Marlon Rodrigues, Naveen Andrews and others"
Band Baaja Baaraat (2010 - Hindi),Drama,Manish Sharma,"Ranveer Singh, Anushka Sharma, Manmeet Singh and others"
Banda Yeh Bindaas Hai (2013 - Hindi),Comedy,Ravi Chopra,"Govinda, Lara Dutta, Tabu and others"
C Kkompany (2008 - Hindi),Comedy,Sachin Yardi,"Tusshar Kapoor, Raima Sen, Anupam Kher and others"
Chaalbaaz (1989 - Hindi),"Action, Comedy, Drama",Pankuj Parashar,"Sridevi, Sunny Deol, Rajinikanth and others"
Chachi 420 (1997 - Hindi),Comedy,Kamal Haasan,"Gulzar, Kamal Haasan, Tabu and others"
Chak De! India (2007 - Hindi),Drama,Shimit Amin,"Shah Rukh Khan, Vidya Malavade, Sagarika Ghatge and others"
Chalo Dilli (2011 - Hindi),Drama,Shashant Shah,"Vinay Pathak, Lara Dutta, Brijendra Kala and others"
Chalte Chalte (2003 - Hindi),"Drama, Family",Aziz Mirza,"Shah Rukh Khan, Rani Mukerji, Jas Arora and others"
Chamki Chameli (2013 - Hindi),"Action, Musical",Shyam Benegal,"Sanjay Dutt, Yashpal Sharma and others"
Chamku (2008 - Hindi),Drama,Kabeer Kaushik,"Bobby Deol, Priyanka Chopra, Riteish Deshmukh and others"
Chance Pe Dance (2010 - Hindi),"Musical, Romance",Ken Ghosh,"Shahid Kapoor, Genelia D'Souza-Deshmukh, Kurush Deboo and others"
Chandbhai (2013 - Hindi),"Comedy, Drama",Nikhil Advani,"Akshaye Khanna, Vidya Balan and others"
Chandni (1989 - Hindi),Romance,Yash Chopra,"Sridevi, Rishi Kapoor, Vinod Khanna and others"
Chandni Bar (2001 - Hindi),"Drama, Social",Madhur Bhandarkar,"Tabu, Atul Kulkarni, Rajpal Yadav and others"
Chandni Chowk To China (2009 - Hindi),Comedy,Nikhil Advani,"Akshay Kumar, Deepika Padukone, Ranvir Shorey and others"
Chase (2010 - Hindi),"Action, Drama",Jagmohan Mundhra,"Anuj Saxena, Udita Goswami, Rajesh Khattar and others"
Cheeni Kum (2007 - Hindi),Romance,R. Balki,"Amitabh Bachchan, Tabu, Paresh Rawal and others"
Cheers - Celebration Life (2013 - Hindi),Comedy,Sangeeth Sivan,"Dharmendra, Bobby Deol, Soha Ali Khan and others"
Chenab Gandhi (2013 - Hindi),Drama,Vibha Puri,"Amitabh Bachchan, Vidya Balan, Harman Baweja and others"
Chillar Party (2011 - Hindi),"Family, Children","Vikas Bahl, Nitesh Tiwari","Chinmai Chandranshuh, Vedant Desai, Rohan Grover and others"
China Gate (1998 - Hindi),Action,Raj Kumar Santoshi,"Om Puri, Naseeruddin Shah, Amrish Puri and others"
Chintu Ji (2009 - Hindi),Drama,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa and others"
Chup Chup Ke (2006 - Hindi),Comedy,Priyadarshan,"Shahid Kapoor, Kareena Kapoor Khan, Neha Dhupia and others"
Chupke Chupke (1975 - Hindi),Comedy,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Om Prakash and others"
City Of Gold (2010 - Hindi),"Action, Social",Mahesh Manjrekar,"Karan Patel, Sameer Dharmadhikari, Vineet Kumar and others"
Click (2010 - Hindi),"Drama, Horror, Thriller",Sangeeth Sivan,"Shreyas Talpade, Sada, Chunkey Pandey and others"
Cocktail (2012 - Hindi),Romance,Homi Adajania,"Saif Ali Khan, Deepika Padukone, Diana Penty and others"
Company (2002 - Hindi),Thriller,Ram Gopal Varma,"Ajay Devgn, Vivek Oberoi, Mohanlal and others"
Contract (2008 - Hindi),Thriller,"Ram Gopal Varma, Aseem Mishra","Adhvik Mahajan, Prasad Purandare, Sakshi Gulati and others"
Coolie (1983 - Hindi),"Drama, Social","Manmohan Desai, Prayag Raj","Amitabh Bachchan, Rati Agnihotri, Rishi Kapoor and others"
Coolie No. 1 (1995 - Hindi),Comedy,David Dhawan,"Govinda, Karisma Kapoor, Harish and others"
Corporate (2006 - Hindi),"Drama, Social",Madhur Bhandarkar,"Bipasha Basu, Rajat Kapoor, Raj Babbar and others"
Crook (2010 - Hindi),"Action, Drama",Mohit Suri,"Emraan Hashmi, Neha Sharma, Arjan Bajwa and others"
Calcutta Mail (2003 - Hindi),Thriller,Sudhir Mishra,"Anil Kapoor, Rani Mukerji, Manisha Koirala and others"
Carry On Pandu (2013 - Hindi),"Drama, Social",Chandrakant Kulkarni,"Ranvir Shorey, Surveen Chawla, Om Puri and others"
Cash (2007 - Hindi),Action,Anubhav Sinha,"Ajay Devgn, Sunil Shetty, Riteish Deshmukh and others"
Chaalis Chauraasi (2012 - Hindi),"Comedy, Crime",Hriday Shetty,"Naseeruddin Shah, Atul Kulkarni, Kay Kay Menon and others"
Chaar Din Ki Chandni (2012 - Hindi),"Drama, Romance",Samir Karnik,"Tusshar Kapoor, Kulraj Randhawa, Chandrachur Singh and others"
Chai Garam (2013 - Hindi),"Comedy, Romance",Aaditya Datt,"Govinda, Celina Jaitley, Esha Deol and others"
Chain Kulli Ki Main Kulii (2007 - Hindi),Drama,Kituu Salooja,"Rahul Bose, Naseer Abdullah, Nazir Hussain and others"
Chal Chala Chal (2009 - Hindi),Comedy,T. K. Rajeev Kumar,"Govinda, Rajpal Yadav, Reema Sen and others"
Chal Chalein (2009 - Hindi),Drama,Ujjwal Singh,"Mithun Chakraborty, Rati Agnihotri, Mukesh Khanna and others"
Chalti Ka Naam Gadi (1958 - Hindi),Comedy,Satyen Bose,"Ashok Kumar, Madhubala, Kishore Kumar and others"
Chamatkar (1992 - Hindi),Drama,Rajiv Mehra,"Naseeruddin Shah, Shah Rukh Khan, Shammi Kapoor and others"
Chameli (2004 - Hindi),"Drama, Social",Sudhir Mishra,"Kareena Kapoor Khan, Rahul Bose, Pankaj Jha and others"
Chashme Baddoor (2013 - Hindi),Comedy,David Dhawan,"Ali Zafar, Siddharth, Tapsee Pannu and others"
Chashme Buddoor (1981 - Hindi),Comedy,Sai Paranjpye,"Amitabh Bachchan, Rekha, Farooq Shaikh and others"
Chaurahen - Crossroads (2012 - Hindi),Drama,Rajshree Ojha,"Victor Banerjee, Rupa Ganguly, Soha Ali Khan and others"
Cheenti Cheenti Bang Bang (2008 - Hindi),Animation,Niloy Kumar De,"Ashish Vidyarthi, Anjan Srivastava, Mahesh Manjrekar and others"
Chhodon Naa Yaar (2007 - Hindi),Horror,Dilip Sood,"Jimmy Shergill, Kim Sharma, Kabir Sadanand and others"
Chhoti Bahu (1971 - Hindi),Social,"K. B. Tilak, M. M. Baig","Rajesh Khanna, Sharmila Tagore, Nirupa Roy and others"
Chhoti Si Baat (1975 - Hindi),"Comedy, Social",Basu Chatterjee,"Amol Palekar, Vidya Sinha, Ashok Kumar and others"
Dabangg (2010 - Hindi),Drama,Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Arbaaz Khan and others"
Dabangg 2 (2012 - Hindi),"Action, Social",Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan and others"
Daddy Cool (2009 - Hindi),Comedy,K. Murali Mohan Rao,"Aftab Shivdasani, Ashish Choudhary, Sunil Shetty and others"
Damini (1993 - Hindi),"Drama, Social",Raj Kumar Santoshi,"Rishi Kapoor, Meenakshi Sheshadri, Sunny Deol and others"
Darr (1993 - Hindi),"Romance, Thriller",Yash Chopra,"Sunny Deol, Juhi Chawla, Shah Rukh Khan and others"
Dasvidaniya (2008 - Hindi),Drama,Shashant Shah,"Vinay Pathak, Sarita Joshi, Gaurav Gera and others"
De Dana Dan (2009 - Hindi),Comedy,Priyadarshan,"Akshay Kumar, Sunil Shetty, Paresh Rawal and others"
De Taali (2008 - Hindi),Comedy,E. Nivas,"Riteish Deshmukh, Aftab Shivdasani, Ayesha Takia and others"
Dedh Ishqiya (2014 - Hindi),"Drama, Romance",Abhishek Chaubey,"Naseeruddin Shah, Madhuri Dixit-Nene, Arshad Warsi and others"
Deewaar (1975 - Hindi),Social,Yash Chopra,"Amitabh Bachchan, Shashi Kapoor, Nirupa Roy and others"
Deewana (1992 - Hindi),Romance,Raj Kanwar,"Rishi Kapoor, Divya Bharti, Shah Rukh Khan and others"
Deewana Mastana (1997 - Hindi),Comedy,David Dhawan,"Anil Kapoor, Juhi Chawla, Govinda and others"
Delhi 6 (2009 - Hindi),Drama,Rakeysh Omprakash Mehra,"Abhishek Bachchan, Sonam Kapoor, Atul Kulkarni and others"
Department (2012 - Hindi),"Action, Crime",Ram Gopal Varma,"Amitabh Bachchan, Sanjay Dutt, Anjana Sukhani and others"
Dev D (2009 - Hindi),Drama,Anurag Kashyap,"Abhay Deol, Mahi Gill, Kalki Koechlin and others"
Devdas (2002 - Hindi),Drama,Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai-Bachchan, Madhuri Dixit-Nene and others"
Dhadkan (2000 - Hindi),Romance,Dharmesh Darshan,"Akshay Kumar, Shilpa Shetty Kundra, Sunil Shetty and others"
Dhamaal (2007 - Hindi),Comedy,Indra Kumar,"Sanjay Dutt, Riteish Deshmukh, Arshad Warsi and others"
Dharmatma (1975 - Hindi),Social,Feroz Khan,"Feroz Khan, Premnath, Hema Malini and others"
Dhoom (2004 - Hindi),Action,Sanjay Gadhvi,"Abhishek Bachchan, John Abraham, Uday Chopra and others"
Dhoom 2 (2006 - Hindi),Action,Sanjay Gadhvi,"Hrithik Roshan, Abhishek Bachchan, Yusuf Hussain and others"
Dhoom 3 (2013 - Hindi),"Action, Thriller",Vijay Krishna Acharya,"Aamir Khan, Abhishek Bachchan, Uday Chopra and others"
Dhoondte Reh Jaaoge (2009 - Hindi),Comedy,Umesh Shukla,"Kunal Khemu, Sonu Sood, Soha Ali Khan and others"
Dil (1990 - Hindi),Romance,Indra Kumar,"Aamir Khan, Madhuri Dixit-Nene, Anupam Kher and others"
Dil Bole Hadippa! (2009 - Hindi),"Comedy, Romance",Anurag Singh,"Rani Mukerji, Shahid Kapoor, Rakhi Sawant and others"
Dil Chahta Hai (2001 - Hindi),Romance,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna and others"
Dil Hai Ki Manta Nahin (1991 - Hindi),Romance,Mahesh Bhatt,"Aamir Khan, Pooja Bhatt, Anupam Kher and others"
Dil Kabaddi (2008 - Hindi),Comedy,Anil Senior,"Irrfan Khan, Soha Ali Khan, Konkona Sen Sharma and others"
Dil Se (1998 - Hindi),Thriller,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity Zinta and others"
Dil To Pagal Hai (1997 - Hindi),Romance,Yash Chopra,"Shah Rukh Khan, Madhuri Dixit-Nene, Karisma Kapoor and others"
Dilwale Dulhania Le Jayenge (1995 - Hindi),Romance,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri and others"
DISCO FIGHTER (2013 - Hindi),,Kiran Rao,"Aamir Khan, Imran Khan and others"
Do Dooni Chaar (2010 - Hindi),Drama,Habib Faisal,"Rishi Kapoor, Neetu Singh, Archit Krishna and others"
Do Knot Disturb (2009 - Hindi),Comedy,David Dhawan,"Govinda, Riteish Deshmukh, Lara Dutta and others"
Don (2006 - Hindi),Action,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra, Boman Irani and others"
Don (1978 - Hindi),Social,Chandra Barot,"Amitabh Bachchan, Zeenat Aman, Pran and others"
Dor (2006 - Hindi),"Drama, Social",Nagesh Kukunoor,"Ayesha Takia, Gul Panag, Shreyas Talpade and others"
Dostana (2008 - Hindi),Romance,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra and others"
Dostana 2 (2014 - Hindi),Comedy,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Katrina Kaif and others"
Dream Sequence (2013 - Hindi),Romance,Vishal Bhardwaj,"Priyanka Chopra, Abhay Deol, Vivaan Shah and others"
Drona (2008 - Hindi),Fantasy,Goldie Behl,"Abhishek Bachchan, Priyanka Chopra, Kay Kay Menon and others"
Dulha Mil Gaya (2010 - Hindi),Comedy,Mudassar Aziz,"Fardeen Khan, Ishita Sharma, Sushmita Sen and others"
Dulhe Raja (1998 - Hindi),Action,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan and others"
Duplicate (1998 - Hindi),Action,Mahesh Bhatt,"Shah Rukh Khan, Juhi Chawla, Kajol and others"
Dus (2005 - Hindi),Action,Anubhav Sinha,"Sanjay Dutt, Abhishek Bachchan, Sunil Shetty and others"
Daag (1973 - Hindi),Social,Yash Chopra,"Rajesh Khanna, Sharmila Tagore, Priyanka and others"
Daayen Ya Baayen (2010 - Hindi),Drama,Bela Negi,"Deepak Dobriyal, Manav Kaul, Aditi Beri and others"
Dacait (1987 - Hindi),Action,Rahul Rawail,"Sunny Deol, Urmila Matondkar, Meenakshi Sheshadri and others"
Daddy (1991 - Hindi),"Drama, Family",Mahesh Bhatt,"Pooja Bhatt, Anupam Kher, Aakash Khurana and others"
Daku (1975 - Hindi),Social,Basu Bhattacharya,"Amrish Puri, Kabir Bedi, Vijay Arora and others"
E M I (2008 - Hindi),Drama,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Urmila Matondkar and others"
Ek Main Aur Ekk Tu (2012 - Hindi),"Comedy, Romance",Shakun Batra,"Imran Khan, Kareena Kapoor Khan, Nikhil Kapoor and others"
Ek Second Jo Zindagi Badal De (2010 - Hindi),Thriller,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Suniiel Singh and others"
Ek Tha Tiger (2012 - Hindi),"Romance, Thriller",Kabir Khan,"Salman Khan, Katrina Kaif, Ranvir Shorey and others"
Ek Vivaah Aisa Bhi (2008 - Hindi),Romance,Kaushik Ghatak,"Sonu Sood, Isha Koppikar, Alok Nath and others"
Everybody Wants To Be Famous (2013 - Hindi),Drama,Sunil Pandey,Amitabh Bachchan and others
Exclusion (2014 - Hindi),Drama,Deepa Mehta,"Amitabh Bachchan, John Abraham, Seema Biswas and others"
Eeshwar (1989 - Hindi),"Drama, Social",K. Viswanath,"Anil Kapoor, Saeed Jaffrey, Vinod Mehra and others"
Eik Dasttak (2007 - Hindi),Thriller,Shekhar S. Jha,"Murli Sharma, Vineet Kumar, Liliput and others"
Ek Aadat (2010 - Hindi),Drama,Prakash Saini,"Aryaman, Smita Gondkar, Vijay Raaz and others"
Ek Dastak (2007 - Hindi),Drama,Shekar,"Vasundhara Das, Amit Behl, Narain Jha and others"
Ek Doctor Ki Maut (1991 - Hindi),"Drama, Social",Tapan Sinha,"Shabana Azmi, Irfan, Pankaj Kapur and others"
Ek Duje Ke Liye (1981 - Hindi),"Drama, Romance",K. Balachander,"Kamal Haasan, Rati Agnihotri, Madhavi and others"
Ek Hasina Thi (2004 - Hindi),"Social, Thriller",Sriram Raghavan,"Urmila Matondkar, Saif Ali Khan, Seema Biswas and others"
Ek Pal (1986 - Hindi),Drama,Kalpana Lajmi,"Naseeruddin Shah, Shabana Azmi, Sheeram Lagoo and others"
Ek Phool Do Mali (1969 - Hindi),Social,Devendra Goel,"Balraj Sahni, Sadhana, Sanjay Khan and others"
Ek Rishtaa: The Bond of Love (2001 - Hindi),"Drama, Family",Suneel Darshan,"Amitabh Bachchan, Akshay Kumar, Karisma Kapoor and others"
