Movie,Genre,Director,Actors
Freaky Ali (2016 - Hindi),Romantic/Comedy/Sports,Sohail Khan,"Nawazuddin Siddiqui, Arbaaz Khan, Amy Jackson, Jas Arora, Seema Biswas, Nikitin Dheer, Asif Basra, Paresh Ganatra, Alam Khan"
Ek Kahani Julie Ki (2016 - Hindi),Thriller,Aziz Zee,Rakhi Sawant
Raaz Reboot (2016 - Hindi),Horror,Vikram Bhatt,"Emraan Hashmi, Kriti Kharbanda, Gaurav Arora, Rahul Verma, Suzanna Mukherjee"
Pink (2016 - Hindi),Drama,Aniruddha Roy Chowdhury,"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang, Angad Bedi"
Parched (2016 - Hindi),Drama,Leena Yadav,"Tannishtha Chatterjee, Radhika Apte, Surveen Chawla, Sayani Gupta"
Banjo (2016 - Hindi),Comedy/Drama,Ravi Jadhav,"Riteish Deshmukh, Nargis Fakhri , Dharmesh Yelande ,"
Days of Tafree (2016 - Hindi),Comedy,Krishnadev Yagnik,"Yash Soni, Nimisha Mehta"
Wah Taj (2016 - Hindi),Satirical,Ajit Sinha,"Shreyas Talpade, Manjari Phadnis"
M.S. Dhoni: The Untold Story (2016 - Hindi),Sports/Biopic,Neeraj Pandey,"Sushant Singh Rajput, Anupam Kher, Herry Tangri, Kiara Advani, Disha Patani, Bhumika Chawla"
Mirzya (2016 - Hindi),Drama/Romance,Rakeysh Omprakash Mehra,"Harshvardhan Kapoor, Saiyami Kher, Om Puri, Art Malik, K.K. Raina"
MSG: The Warrior Lion Heart (2016 - Hindi),Adventure/Drama,"Gurmeet Ram Rahim Singh, Honeypreet Insan","Gurmeet Ram Rahim Singh, Honeypreet Insan, Charapreet Insan, Kainaat Insan, Garima Insan, Rajesh Insan, Sukhottam Insan, Ashok Insan, Bhushan Insan"
Tutak Tutak Tutiya (2016 - Hindi),Supernatural comedy film,A. L. Vijay,"Prabhu Deva, Tamannaah, Sonu Sood"
Anna (2016 - Hindi),Biographical,Shashank Udapurkar,"Shashank Udapurkar, Tanishaa Mukerji, Govind Namdeo, Rajit Kapur, Sharat Saxena, Kishor Kadam"
Motu Patlu: King Of Kings (2016 - Hindi),Action/Comedy/Adventure/Animation,Suhas D. Kadavand,"Saurav Chakraborty, Omi Sharma"
Beiimaan Love (2016 - Hindi),Thriller,Rajeev Chaudhary,"Sunny Leone, Rajneesh Duggal,Daniel Weber"
Saat Uchakkey (2016 - Hindi),Comedy,Sanjeev Sharma,"Manoj Bajpayee, Anupam Kher, Kay Kay Menon, Annu Kapoor, Vijay Raaz, Aditi Sharma"
Fuddu (2016 - Hindi),Drama,Sunil Subramani,"Swati Kapoor, Monali A, Sunny Leone, Sharman Joshi, Gauhar Khan, Pawan Kumar Sharma, Anurag Basu"
Aakhir Kab Tak (2016 - Hindi),Social drama,Mithilesh Avinash,"Manisha Singh, Vinay Rana"
Ek Tera Saath (2016 - Hindi),Supernatural Thriller,Arshad Siddiqui,"Sharad Malhotra, Hritu Dudani, Melanie Nazareth, Vishwajeet Pradhan, Deepraj Rana, Gargi Patel, Aprajita Mahajan, Anubhav Dhir"
Umrika (2016 - Hindi),Drama,Prashant Nair,"Prateik Babbar, Suraj Sharma, Toni Revolori, Adil Hussain, Nidhi Bisht"
31st October (2016 - Hindi),Drama & Thriller,Shivaji Lotan Patil,"Vir Das, Soha Ali Khan"
Shivaay (2016 - Hindi),Action/Drama,Ajay Devgn,"Ajay Devgn, Sayesha Saigal, Erika Kaar, Ali Kazmi, Jabbz Farooqi, Vir Das, Bijou Thaangjam"
Ae Dil Hai Mushkil (2016 - Hindi),Drama/Romance,Karan Johar,"Ranbir Kapoor, Aishwarya Rai, Anushka Sharma, Fawad Khan, Imran Abbas, Lisa Haydon"
Chaar Sahibzaade: Rise of Banda Singh Bahadur (2016 - Hindi),Action/Drama/Animation,Harry Baweja,Harman Baweja
Dongri Ka Raja (2016 - Hindi),Action/Thriller,Hadi Ali Abrar,"Gashmeer Mahajani, Reecha Sinha, Ronit Roy, Sachin Suvarna, Ashmit Patel, Sunny Leone"
Ishq Junoon (2016 - Hindi),Romantic/Erotic,Sanjay Sharma,"Rajbeer Singh, Akshay Rangshahi, Divya Singh, Raj Aryan"
Rock On 2 (2016 - Hindi),Drama,Sujaat Saudagar,"Farhan Akhtar, Arjun Rampal, Purab Kohli, Shraddha Kapoor, Prachi Desai, Shashank Arora, Shahana Goswami"
Tum Bin 2 (2016 - Hindi),Romance,Anubhav Sinha,"Neha Sharma, Aditya Seal, Aashim Gulati"
Force 2 (2016 - Hindi),Action,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin"
Dear Zindagi (2016 - Hindi),Drama,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Ira Dubey, Kunal Kapoor"
Saansein (2016 - Hindi),Romantic/Horror,Rajiv S. Ruia,"Rajneesh Duggal, Sonarika Bhadoria, Hiten Tejwani, Neetha Shetty, Sachi Ruia, Amir Dalvi, Vishal Malhotra"
Moh Maya Money (2016 - Hindi),Crime Drama,Munish Bharadwaj,"Ranvir Shorey, Neha Dhupia, Vidhushi Mehra, Ashwat Bhatt"
Kahaani 2 (2016 - Hindi),Thriller,Sujoy Ghosh,"Vidya Balan, Arjun Rampal, Jugal Hansraj"
Befikre (2016 - Hindi),Romance,Aditya Chopra,"Ranveer Singh, Vaani Kapoor"
Wajah Tum Ho (2016 - Hindi),Romance/Drama,Vishal Pandya,"Sana Khan, Sharman Joshi, Gurmeet Choudhary"
Dangal (2016 - Hindi),Biopic,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim"
International Hero (2015 - Hindi),Drama,Sanjay Niranjan,"Nakul Vaid, Jatin Grewal, Gurleen Chopra, Puneet Issar"
Mumbai Can Dance Saala (2015 - Hindi),Thriller,Sachindra Sharma,"Ashima Sharma, Prashant Narayanan, Aditya Pancholi, Mukesh Tiwari"
Take It Easy (2015 - Hindi),Drama,Sunil Prem Vyas,"Vikram Gokhale, Dipannita Sharma, Raj Zutshi, Anang Desai, Joy Sengupta, Sulabha Arya, Vijay Kashyap"
Sai Mahima (2015 - Hindi),Devotional,Sukhvinder Sharma,"Rritvik Mahajan, Rahul Sikka, Amrinder Singh, Jitendra Sharma"
Tevar (2015 - Hindi),Action/Romance,Amit Sharma,"Arjun Kapoor, Sonakshi Sinha, Raj Babbar, Manoj Bajpai"
Alone (2015 - Hindi),Horror,Bhushan Patel,"Bipasha Basu, Karan Singh Grover"
Crazy Cukkad Family (2015 - Hindi),Comedy,Ritesh Menon,"Swanand Kirkire, Shilpa Shukla, Ninad Kamat, Kushal Punjabi, Kiran Karmarkar, Yusuf Hussain"
Sharafat Gayi Tel Lene (2015 - Hindi),Comedy/Thriller,Gurmmeet Singh,"Zayed Khan, Tena Desae, Rannvijay Singh, Talia Benson, Anupam Kher"
Baby (2015 - Hindi),Thriller,Neeraj Pandey,"Akshay Kumar, Taapsee Pannu, Rana Daggubati, Anupam Kher, Kay Kay Menon, Danny Denzongpa"
Dolly Ki Doli (2015 - Hindi),Romantic/Comedy,Abhishek Dogra,"Sonam Kapoor, Pulkit Samrat, Rajkummar Rao, Varun Sharma"
Chal Guru Ho Ja Shuru (2015 - Hindi),Comedy,Manoj Sharma,"Hemant Pandey, Chandrachur Singh, Sanjay Mishra, Manoj Pahwa"
Hawaizaada (2015 - Hindi),Drama,Vibhu Puri,"Ayushmann Khurrana, Pallavi Sharda"
Khamoshiyan: Silences Have Secrets (2015 - Hindi),Horror,Karan Dara,"Gurmeet Choudhary, Ali Fazal, Sapna Pabbi"
Rahasya (2015 - Hindi),Mystery,Manish Gupta,"Tisca Chopra, Ashish Vidyarthi, Kay Kay Menon"
Jai Jawaan Jai Kisaan (2015 - Hindi),Drama,Milan Ajmera,"Jatin Khurana, Om Puri, Prem Chopra, Rati Agnihotri, Rishi Bhutani, Sanjay Chakraborty, Akhilesh Jain"
